,index,match_api_id,country,season,comment,stats,event_incident_typefk,elapsed,player2,subtype,player1,sortorder,team,id,n,type,goal_type,elapsed_plus,coordinates,del
32995,1,530637.0,Spain,2008/2009,n,,71,14,,,75239.0,0,9865.0,669305,18,goal,n,,,
32996,0,684987.0,Spain,2009/2010,n,,71,29,,,11555.0,0,9865.0,976789,24,goal,n,,,
32997,1,684987.0,Spain,2009/2010,n,,71,67,,,45605.0,0,9865.0,977237,26,goal,n,,,
32998,0,875609.0,Spain,2010/2011,n,,71,32,,,35638.0,0,8696.0,1219577,18,goal,n,,,
32999,0,530354.0,Spain,2008/2009,n,,71,28,,,37425.0,0,9869.0,537093,23,goal,n,,,
33000,0,684604.0,Spain,2009/2010,n,,71,5,,,24383.0,0,9869.0,756002,23,goal,n,,,
33001,0,875877.0,Spain,2010/2011,n,,71,13,,,38886.0,0,9869.0,1470409,22,goal,n,,,
33002,0,530657.0,Spain,2008/2009,n,,71,5,,,34233.0,0,8603.0,686311,21,goal,n,,,
33003,1,530657.0,Spain,2008/2009,n,,71,66,,,33655.0,0,8603.0,686840,27,goal,n,,,
33004,0,1505978.0,Spain,2013/2014,n,,71,4,,,362855.0,0,9865.0,3180347,15,goal,n,,,
33005,0,530376.0,Spain,2008/2009,n,,406,5,74663.0,header,43329.0,0,9865.0,550060,233,goal,n,,,
33006,1,530376.0,Spain,2008/2009,n,,393,54,45605.0,shot,43329.0,2,9865.0,550183,286,goal,n,,,
33007,2,530376.0,Spain,2008/2009,n,,131,63,,loose_ball,18592.0,0,8558.0,550201,298,goal,n,,,
33008,3,530376.0,Spain,2008/2009,n,,130,90,,direct_freekick,38385.0,0,8558.0,550312,336,goal,n,5.0,,
33009,0,684799.0,Spain,2009/2010,n,,393,45,37441.0,shot,80492.0,1,8558.0,891167,219,goal,n,,,
33010,1,684799.0,Spain,2009/2010,n,,80,81,,shot,33773.0,1,8558.0,891415,258,goal,n,,,
33011,0,875541.0,Spain,2010/2011,n,,71,47,,,150330.0,0,8558.0,1173731,20,goal,n,,,
