"player_name";"player_api_id";"player_nation";"season";"team_long_name";"team_api_id";"season_player_age";"market_val_amnt";"player_pos";"team_country"
"Marcel Tisserand";"466357";"DR Congo";"2013";"AS Monaco";"9829";"20";"3700000";"CB";"France"
"Marcelo";"78908";"Brazil";"2010";"PSV";"8640";"23";"2000000";"CB";"Netherlands"
"Marcelo";"78908";"Brazil";"2013";"Hannover 96";"9904";"26";"2000000";"CB";"Germany"
"Marcelo Estigarribia";"68436";"Paraguay";"2012";"Sampdoria";"9882";"25";"500000";"LM";"Italy"
"Marcelo Goiano";"474736";"Brazil";"2014";"SC Braga";"10264";"27";"400000";"RB";"Portugal"
"Marcelo Silva";"20325";"Uruguay";"2010";"UD Almería";"9865";"21";"300000";"CB";"Spain"
"Marcelo Toscano";"148955";"Brazil";"2010";"Vitória Guimarães";"7844";"25";"400000";"CF";"Portugal"
"Marco Asensio";"498033";"Spain";"2015";"RCD Espanyol";"8558";"19";"35000000";"RW";"Spain"
"Marco Bizot";"195782";"Netherlands";"2012";"FC Groningen";"8674";"21";"5000000";"GK";"Netherlands"
"Marco Crimi";"202650";"Italy";"2010";"Bari";"9976";"20";"300000";"CM";"Italy"
"Marco Crimi";"202650";"Italy";"2015";"Bologna";"9857";"25";"300000";"CM";"Italy"
"Marco D'Alessandro";"182836";"Italy";"2010";"Bari";"9976";"19";"1200000";"RW";"Italy"
"Marco D'Alessandro";"182836";"Italy";"2014";"Atalanta";"8524";"23";"1200000";"RW";"Italy"
"Marco Davide Faraoni";"109338";"Italy";"2012";"Udinese";"8600";"21";"7000000";"RB";"Italy"
"Marco Matias";"40946";"Portugal";"2012";"Vitória Guimarães";"7844";"23";"200000";"RW";"Portugal"
"Marco Matias";"40946";"Portugal";"2014";"CD Nacional";"10214";"25";"200000";"RW";"Portugal"
"Marco Motta";"27720";"Italy";"2009";"Roma";"8686";"23";"250000";"RB";"Italy"
"Marco Motta";"27720";"Italy";"2010";"Juventus";"9885";"24";"250000";"RB";"Italy"
"Marco Motta";"27720";"Italy";"2012";"Bologna";"9857";"26";"250000";"RB";"Italy"
"Marco Reus";"129944";"Germany";"2009";"Borussia Mönchengladbach";"9788";"20";"13000000";"AM";"Germany"
"Marco Reus";"129944";"Germany";"2012";"Borussia Dortmund";"9789";"23";"13000000";"AM";"Germany"
"Marco Rossi";"25338";"Italy";"2009";"Sampdoria";"9882";"22";"50000";"CB";"Italy"
"Marco Rossi";"25338";"Italy";"2010";"Bari";"9976";"23";"50000";"CB";"Italy"
"Marco Rossi";"25338";"Italy";"2011";"Cesena";"9880";"24";"50000";"CB";"Italy"
"Marco Terrazzino";"149909";"Germany";"2012";"SC Freiburg";"8358";"21";"550000";"AM";"Germany"
"Marco Verratti";"190972";"Italy";"2012";"Paris Saint-Germain";"9847";"20";"55000000";"CM";"France"
"Marco van Ginkel";"199291";"Netherlands";"2010";"Vitesse";"8277";"18";"1750000";"CM";"Netherlands"
"Marco van Ginkel";"199291";"Netherlands";"2014";"Milan";"8564";"22";"1750000";"CM";"Italy"
"Marco van Ginkel";"199291";"Netherlands";"2015";"Stoke City";"10194";"23";"1750000";"CM";"England"
"Marcos Alonso";"196169";"Spain";"2013";"Fiorentina";"8535";"23";"15000000";"LB";"Italy"
"Marcos Rojo";"161035";"Argentina";"2012";"Sporting CP";"9768";"22";"3600000";"CB";"Portugal"
"Marcos Rojo";"161035";"Argentina";"2014";"Manchester United";"10260";"24";"3600000";"CB";"England"
"Marcus Berg";"39141";"Sweden";"2010";"PSV";"8640";"24";"1200000";"CF";"Netherlands"
"Marcus Pedersen";"41171";"Norway";"2010";"Vitesse";"8277";"20";"225000";"CF";"Netherlands"
"Marcus Pedersen";"41171";"Norway";"2013";"Vitesse";"8277";"23";"225000";"CF";"Netherlands"
"Marian Sarr";"423631";"Germany";"2013";"Borussia Dortmund";"9789";"18";"100000";"CB";"Germany"
"Mariano";"122047";"Brazil";"2015";"Sevilla FC";"8302";"29";"700000";"RB";"Spain"
"Mariano Bogliacino";"41309";"Uruguay";"2010";"Chievo Verona";"8533";"30";"50000";"AM";"Italy"
"Mario Balotelli";"108808";"Italy";"2010";"Manchester City";"8456";"20";"2000000";"CF";"England"
"Mario Balotelli";"108808";"Italy";"2014";"Liverpool";"8650";"24";"2000000";"CF";"England"
"Mario Balotelli";"108808";"Italy";"2015";"Milan";"8564";"25";"2000000";"CF";"Italy"
"Mario Pasalic";"446266";"Croatia";"2014";"Elche CF";"10268";"19";"23000000";"CM";"Spain"
"Mario Pasalic";"446266";"Croatia";"2015";"AS Monaco";"9829";"20";"23000000";"CM";"France"
"Mario Vrancic";"36379";"Bosnia-Herzegovina";"2015";"SV Darmstadt 98";"8262";"26";"1500000";"CM";"Germany"
"Marius Alexe";"70440";"Romania";"2013";"Sassuolo";"7943";"23";"100000";"CF";"Italy"
"Mark Uth";"212819";"Germany";"2013";"Heracles Almelo";"9791";"22";"3000000";"SS";"Netherlands"
"Mark Uth";"212819";"Germany";"2014";"SC Heerenveen";"10228";"23";"3000000";"SS";"Netherlands"
"Marko Arnautovic";"110148";"Austria";"2010";"SV Werder Bremen";"8697";"21";"7500000";"CF";"Germany"
"Marko Arnautovic";"110148";"Austria";"2013";"Stoke City";"10194";"24";"7500000";"CF";"England"
"Marko Livaja";"206242";"Croatia";"2015";"Empoli";"8534";"22";"3500000";"AM";"Italy"
"Marko Marin";"71353";"Germany";"2009";"SV Werder Bremen";"8697";"20";"2500000";"AM";"Germany"
"Marko Marin";"71353";"Germany";"2012";"Chelsea";"8455";"23";"2500000";"AM";"England"
"Marko Marin";"71353";"Germany";"2013";"Sevilla FC";"8302";"24";"2500000";"AM";"Spain"
"Marko Meerits";"177152";"Estonia";"2011";"Vitesse";"8277";"19";"150000";"GK";"Netherlands"
"Markus Henriksen";"157101";"Norway";"2012";"AZ";"10229";"20";"1300000";"CM";"Netherlands"
"Markus Suttner";"45254";"Austria";"2015";"FC Ingolstadt 04";"8234";"28";"600000";"LB";"Germany"
"Marlon Frey";"667787";"Germany";"2015";"Bayer 04 Leverkusen";"8178";"19";"275000";"CM";"Germany"
"Marouane Fellaini";"39618";"Belgium";"2013";"Manchester United";"10260";"26";"4800000";"CM";"England"
"Marquinho";"128020";"Brazil";"2015";"Udinese";"8600";"29";"400000";"AM";"Italy"
"Marquinhos";"267365";"Brazil";"2012";"Roma";"8686";"18";"75000000";"CB";"Italy"
"Marquinhos";"267365";"Brazil";"2013";"Paris Saint-Germain";"9847";"19";"75000000";"CB";"France"
"Marquitos";"41582";"Spain";"2009";"Real Valladolid";"10281";"22";"50000";"AM";"Spain"
"Mart Lieder";"303994";"Netherlands";"2012";"RKC Waalwijk";"10219";"22";"300000";"CF";"Netherlands"
"Mart Lieder";"303994";"Netherlands";"2014";"FC Dordrecht";"6631";"24";"300000";"CF";"Netherlands"
"Martin Hansen";"47532";"Denmark";"2014";"ADO Den Haag";"10217";"24";"300000";"GK";"Netherlands"
"Martin Kelly";"154271";"England";"2014";"Crystal Palace";"9826";"24";"1500000";"RB";"England"
"Martin Olsson";"25667";"Sweden";"2013";"Norwich City";"9850";"25";"700000";"LB";"England"
"Marvin Bakalorz";"269666";"Germany";"2014";"SC Paderborn 07";"8460";"25";"400000";"CM";"Germany"
"Marvin Ducksch";"343757";"Germany";"2013";"Borussia Dortmund";"9789";"19";"2500000";"CF";"Germany"
"Marvin Ducksch";"343757";"Germany";"2014";"SC Paderborn 07";"8460";"20";"2500000";"CF";"Germany"
"Marvin Emnes";"28108";"Netherlands";"2014";"Swansea City";"10003";"26";"100000";"CF";"England"
"Marvin Martin";"147958";"France";"2012";"LOSC Lille";"8639";"24";"300000";"AM";"France"
"Marvin Peersman";"180784";"Belgium";"2015";"SC Cambuur";"7788";"24";"450000";"LB";"Netherlands"
"Marvin Plattenhardt";"229759";"Germany";"2014";"Hertha BSC Berlin";"8177";"22";"4000000";"LB";"Germany"
"Marwan Mohsen";"292461";"Egypt";"2014";"Gil Vicente FC";"9764";"25";"600000";"CF";"Portugal"
"Marwin Hitz";"114737";"Switzerland";"2013";"FC Augsburg";"8406";"26";"1700000";"GK";"Germany"
"Massimo Volta";"96646";"Italy";"2014";"Cesena";"9880";"27";"200000";"CB";"Italy"
"Matej Vydra";"196308";"Czech Republic";"2013";"West Bromwich Albion";"8659";"21";"3000000";"CF";"England"
"Mateo Kovacic";"239219";"Croatia";"2015";"Real Madrid CF";"8633";"21";"45000000";"CM";"Spain"
"Mateusz Klich";"159342";"Poland";"2013";"PEC Zwolle";"6413";"23";"4000000";"CM";"Netherlands"
"Matheus Pereira";"522651";"Brazil";"2015";"Sporting CP";"9768";"19";"15000000";"AM";"Portugal"
"Matheuzinho";"305712";"Brazil";"2015";"Estoril Praia";"7842";"22";"600000";"AM";"Portugal"
"Mathew Ryan";"185644";"Australia";"2015";"Valencia CF";"10267";"23";"6000000";"GK";"Spain"
"Mathias Gehrt";"244278";"Denmark";"2013";"ADO Den Haag";"10217";"21";"200000";"AM";"Netherlands"
"Mathieu Coutadeur";"40685";"France";"2009";"AS Monaco";"9829";"23";"400000";"CM";"France"
"Mathieu Coutadeur";"40685";"France";"2011";"FC Lorient";"8689";"25";"400000";"CM";"France"
"Mathieu Dossevi";"111787";"Togo";"2010";"Valenciennes FC";"9873";"22";"250000";"RW";"France"
"Mathieu Valbuena";"40060";"France";"2015";"Olympique Lyonnais";"9748";"31";"800000";"AM";"France"
"Matias Ezequiel Schelotto";"182765";"Italy";"2010";"Cesena";"9880";"21";"500000";"RB";"Italy"
"Matias Ezequiel Schelotto";"182765";"Italy";"2013";"Sassuolo";"7943";"24";"500000";"RB";"Italy"
"Matias Ezequiel Schelotto";"182765";"Italy";"2014";"Chievo Verona";"8533";"25";"500000";"RB";"Italy"
